,QLD_QQQ_SMA200,QQQ_BH,SPY_BH
2024-06-06,15192.986669771439,8261.84246142739,5385.228095582906
2024-06-07,15157.138781876225,8254.624199224016,5378.711078928308
2024-06-10,15277.71804116013,8288.008661914624,5395.365677045614
2024-06-11,15479.769772933152,8344.8524767662,5408.296265646007
2024-06-12,15887.132135378763,8454.209149147322,5452.777490431359
2024-06-13,16050.077080357007,8499.864657583666,5463.742629564492
2024-06-14,16209.76312643569,8544.076513579335,5467.052860246193
2024-06-17,16604.08989328304,8648.741315528267,5510.603082652316
2024-06-18,16607.3487921826,8651.267707299447,5524.56811834074
2024-06-20,16343.377981317846,8584.679238473316,5509.568635564284
2024-06-21,16245.611014330902,8561.580799422518,5502.120616530457
2024-06-24,15880.614337579635,8464.134259676963,5484.224681907513
2024-06-25,16242.352115431338,8561.039429757266,5505.430847212158
2024-06-26,16307.53009342263,8578.543715600448,5512.258197993166
2024-06-27,16382.484768112627,8600.739871875825,5520.947553532631
2024-06-28,16199.986429736991,8556.167102769987,5499.22416468397
2024-07-01,16398.77926261045,8606.33402508344,5510.499637943513
2024-07-02,16737.704748165197,8696.742759180708,5547.636288403841
2024-07-03,17008.193356829077,8769.105837769537,5572.359573807792
2024-07-05,17353.636640182955,8860.597311197309,5604.53087824557
2024-07-08,17441.626910471212,8881.71072814218,5610.944450191365
2024-07-09,17457.921404969034,8889.289903455725,5616.427019757932
2024-07-10,17826.176980619868,8982.044572769088,5671.976828385219
2024-07-11,17034.2645480256,8784.986014616961,5623.150925830136
2024-07-12,17226.53958309993,8836.596589371089,5658.632460949614
2024-07-15,17321.047651187306,8860.416854642224,5674.149167270086
2024-07-16,17330.824347886006,8863.845529188828,5707.768697631108
2024-07-17,16310.788992322197,8603.627176757176,5627.805937726277
2024-07-18,16151.102946243518,8562.84399530811,5584.462604737761
2024-07-19,15854.543146383116,8487.052242172678,5547.429398986234
2024-07-22,16320.565689020892,8613.371830731732,5604.634322954374
2024-07-23,16206.504227536123,8583.055129477561,5595.841522706107
2024-07-24,15036.559522592332,8275.196246503638,5469.018309713451
2024-07-25,14707.410733736282,8183.885229630951,5440.5710147925865
